gene	cv_FXS_zscore
A1BG	0.066619639
A1CF	-0.104048961
A2M	-0.682040253
A2ML1	-1.4475529
A3GALT2	-0.158505026
A4GALT	0.534478481
A4GNT	-0.852539717
AAAS	0.098341923
AACS	0.447266076
AADAC	-0.762704248
AADACL2	-2.04361316
AADACL3	-1.344906457
AADACL4	-1.836127912
AADAT	0.763287299
AAGAB	-0.120507594
AAK1	-0.5381462
AAMDC	-1.109212059
AAMP	-0.052896412
AANAT	2.487804526
AAR2	0.98445117
AARD	-0.143934718
AARS1	0.684490353
AARS2	0.555339289
AARSD1	-0.679922941
AASDH	-1.306867649
AASDHPPT	0.251754019
AASS	-0.33264324
AATF	0.524978126
AATK	1.176835575
ABAT	-0.97705176
ABCA1	1.144763552
ABCA10	0.376274373
ABCA12	-1.054978691
ABCA13	-0.549606741
ABCA2	1.662044458
ABCA3	0.77566969
ABCA4	-0.468415636
ABCA5	0.837960638
ABCA6	-0.705228461
ABCA7	1.100760251
ABCA8	-1.520973557
ABCA9	-1.635140915
ABCB1	0.265048268
ABCB10	0.864401922
ABCB11	-0.853408017
ABCB4	-0.088621984
ABCB5	-0.823917732
ABCB6	0.753668018
ABCB7	0.630019491
ABCB8	1.672901331
ABCB9	-0.042826155
ABCC1	-0.206395293
ABCC10	0.303966434
ABCC11	-0.384406076
ABCC12	-1.138779446
ABCC2	-1.023838049
ABCC3	1.812669862
ABCC4	-0.262782127
ABCC5	0.105386401
ABCC6	-1.416826038
ABCC8	-1.132480414
ABCC9	-0.868618772
ABCD1	-1.431160789
ABCD2	-1.751570141
ABCD3	0.46460141
ABCD4	0.538027293
ABCE1	0.721241111
ABCF1	2.097425604
ABCF2	-0.006271025
ABCF3	0.646248059
ABCG1	1.039649791
ABCG2	-1.087158629
ABCG4	-0.282648593
ABCG5	-1.009534255
ABCG8	-0.364645971
ABHD1	3.414229184
ABHD10	0.549540352
ABHD11	0.873561123
ABHD12	0.561650504
ABHD12B	-0.258825394
ABHD13	1.214997503
ABHD14A	-0.620193327
ABHD14B	1.064919449
ABHD15	-1.583979165
ABHD16A	2.450032981
ABHD16B	1.031071739
ABHD17A	0.440509145
ABHD17B	0.404046299
ABHD17C	-0.825827683
ABHD18	0.9503406
ABHD2	0.58338135
ABHD3	-0.032528841
ABHD4	0.179349852
ABHD5	-0.641738343
ABHD6	-0.315577207
ABHD8	-1.510030928
ABI1	0.730677767
ABI2	0.412620278
ABI3	1.03079254
ABI3BP	0.292572407
ABITRAM	0.2266797
ABL1	1.911392574
ABL2	0.613436352
ABLIM1	0.345797501
ABLIM2	-0.126149315
ABLIM3	-1.241488819
ABR	-0.656996821
