gene	mean_diff	cv_FXS_zscore
A1BG	-10.89106667	1.894463684
A1CF	2.959858333	-0.151925361
A2M	4.546108333	0.172526339
A2ML1	-8.020983333	-0.473054316
A4GALT	-4.6258325	0.584753428
AAAS	-0.0087525	-0.282188206
AACS	-2.19555	-0.221037372
AADAT	0.440189167	0.905931685
AAGAB	1.2071	-0.36219617
AAK1	-3.225941667	-1.740604399
AAMDC	-2.282166667	-0.480837515
AAMP	-0.882881667	-0.207591546
AAR2	0.483950833	-0.565512403
AARD	-6.047183333	-0.671638292
AARS1	0.655821667	-0.467746472
AARS2	-4.627390833	1.126676968
AARSD1	0.824841667	-0.680934286
AASDH	-16.92021667	-0.555806388
AASDHPPT	9.729375	-0.169349233
AASS	7.626083333	-1.366434039
AATF	-8.673841667	-0.002700313
AATK	-6.201576667	1.333530348
ABAT	-3.343158333	-0.675017667
ABCA1	5.243991667	0.342254521
ABCA10	10.37845833	-0.705672053
ABCA12	-2.316166667	-0.027276828
ABCA13	2.512566667	-1.497105795
ABCA2	-27.451925	-0.245278187
ABCA3	-1.1026	0.640171475
ABCA4	3.319725	0.222683586
ABCA5	2.613146667	1.779003916
ABCA6	14.188225	-0.320551911
ABCA7	-11.022025	-0.204664127
ABCA9	1.277516667	-1.279617488
ABCB1	9.036208333	-0.213533154
ABCB10	0.141259167	1.769443148
ABCB11	5.861175	-1.196814404
ABCB4	-12.72033333	-1.014603426
ABCB5	8.898916667	-0.599879531
ABCB6	-6.673525	-0.830258806
ABCB7	1.775166667	-0.709054523
ABCB8	-0.697891667	-1.076089381
ABCB9	0.157091667	-1.178670452
ABCC1	-1.480808333	-1.038061935
ABCC10	-5.2822	0.126017635
ABCC11	-0.921966667	-0.502167068
ABCC12	0.604616667	-1.072806817
ABCC2	-0.181091667	-0.870178805
ABCC3	0.356925	-0.052794186
ABCC4	-6.80595	-0.56253293
ABCC5	4.923618333	0.807481748
ABCC6	-18.74415833	-1.106036793
ABCC8	0.609216667	0.026134852
ABCC9	4.005391667	-1.105724289
ABCD1	-4.949066667	-0.428149855
ABCD2	-17.12654167	-1.222119547
ABCD3	2.140591667	-1.223316642
ABCD4	1.052275	-1.386241645
ABCE1	0.031615833	1.45586932
ABCF1	-3.3517375	-1.34401426
ABCF2	-0.03989	-0.830587819
ABCF3	5.592441667	0.497900658
ABCG1	-7.783675	-0.47482299
ABCG2	2.460808333	-0.158150555
ABCG4	-5.446176667	0.252395959
ABCG8	-5.352683333	0.419173619
ABHD1	-9.427683333	-0.246723404
ABHD10	-0.6036175	0.800957025
ABHD11	-4.355193333	1.085406747
ABHD12	-0.960853333	-1.372187679
ABHD12B	0.353175	-0.26238749
ABHD13	5.81965	-0.313041868
ABHD14A	-1.926325	-0.220425584
ABHD14B	-0.160605833	1.400519167
ABHD15	-3.3770375	1.287594988
ABHD16A	-1.947341667	-1.119134258
ABHD17A	0.654120833	1.646432454
ABHD17B	2.209441667	-0.640316865
ABHD17C	-1.013983333	-1.282380236
ABHD18	2.043758333	-1.122428539
ABHD2	-1.605183333	0.102418208
ABHD3	-5.390866667	-0.890453971
ABHD4	-0.091094167	0.529733756
ABHD5	7.815563333	-0.047749556
ABHD6	-4.412308333	0.202485893
ABHD8	-9.058533333	-0.425268188
ABI1	0.685579167	0.147243306
ABI2	11.10389167	-0.493509361
ABI3BP	6.002433333	0.458866815
ABITRAM	0.454781667	1.69492532
ABL1	-0.386135	-0.185590444
ABL2	-0.251783333	0.224332016
ABLIM1	0.442974167	-0.149612346
ABLIM2	-7.333683333	-0.264025189
ABR	-2.638198333	0.078651685
ABRACL	-10.18659167	-0.980724677
ABRAXAS1	4.85426	-0.358169902
ABRAXAS2	-2.912325	-0.461217077
ABT1	3.615824167	0.671552677
ABTB1	3.5538175	1.052947021
ABTB2	-4.594888333	-0.224584118
ACAA1	3.138041667	-0.591457876
ACAA2	-0.524241667	-0.30270108
ACACA	-2.9191825	0.423388569
ACACB	3.408116667	-1.476876693
ACAD10	-5.9090725	0.2281006
ACAD11	5.075758333	-1.234759019
ACAD8	0.511410833	1.775177368
ACAD9	-1.047065833	0.29494359
ACADL	-4.954908333	-0.557711013
ACADM	13.73436667	-0.455981564
ACADS	-1.825316667	-0.63598288
ACADSB	2.780775	-0.264934283
ACADVL	2.37003	0.810455763
ACAN	-4.112326667	0.752624721
ACAP1	3.573883333	-0.095836511
ACAP2	2.597816667	0.303951307
ACAP3	-3.336235	2.830217875
ACAT1	-2.512091667	-0.761956862
ACAT2	-2.769091667	0.125652353
ACBD3	1.4042	-1.165985452
ACBD4	-14.11733333	-0.590854688
ACBD5	4.212275	-0.298241473
ACBD6	10.382525	-0.060210245
ACBD7	-3.22635	-1.213919147
ACCS	-6.565525	-1.223041964
ACD	-1.7645425	0.179084515
ACE2	2.716690833	0.424365752
ACER2	-10.20565	-1.34740732
