read_name	target	strand	count	score_prefix	score_suffix	log_p	offset	ticks	mod	CGG_methylation
c6c514c9-b9bb-4634-b3d0-65bd85f565a2	fmr1	+	24	5.492749410962301	4.465243782253441	-5324.702640697225	11119	108	0000000001010000000	2
af725f4e-9b1a-4ba7-94f3-1e8556282ebe	fmr1	-	23	4.930468840380611	4.792558701657459	-5543.554393898098	103178	858	00000000101000000100	3
ccfc4335-61f7-472b-b9f0-292aabfb7a79	fmr1	-	7	6.251425360090971	4.169129769402395	-1677.9554531405165	49130	0	01101	3
3125e5b0-ed62-44ad-b649-8ff738427ab4	fmr1	-	20	5.153437412855549	7.281011903366466	-3107.1895255973823	61127	14	1101010110110110000	10
320eeaa1-1b35-41ed-9008-99af05573708	fmr1	+	27	4.9935435419497285	4.992341138151426	-6363.009711527576	9046	728	0000000010000101000000	3
3848c6ff-ef15-4241-8da8-1f61e50e9142	fmr1	+	21	6.418085614258434	5.837367026047646	-5114.139581287754	8203	528	00000000001000000100	2
328e81b3-34fb-454c-9e0d-a17228a7cd4b	fmr1	+	19	6.981476430084745	4.98452926856884	-4694.389508338985	9577	140	001000000100001010	4
97693a6c-1a22-49db-aa38-9d33007a4cc7	fmr1	-	22	4.3378213894967175	5.333221589831901	-5388.799055099708	97512	733	110101111101010111111	16
a8096e00-940f-492b-82ce-1c6cc38c3a42	fmr1	+	20	5.120095969412004	4.98915365235353	-5559.112590906107	10014	205	00000110010000100	4
7dc3702f-be60-4a97-b1ed-b2b2be182c70	fmr1	-	171	3.789948700077801	7.33801065772003	-32316.40790663801	52600	5697	0101110010101101000111001111111111111011101010111110101001010111110011000111001011111010011100000011000010111001101010111101011101101101011100011111011111101110111001101111110101101011111001101001011011101000	129
32b79018-e8f3-4e6b-82ff-a5152bb002f1	fmr1	-	20	5.8466528588598905	5.159773055366848	-2625.934449670514	52398	0	001011001010000110	7
e619533f-eb18-4496-a455-9419b826d6d3	fmr1	-	347	3.57500107483294	6.705790258180402	-66014.78765676242	51395	12738	110110101010101101110111111011001011001111001110110001001111101110101011110100011010001101010010001010110110011011111100111101110110110110001111011011011001011011111111000100100111111101001100110101111101111110100101100110110011101011101011011100110111111010111110010001111000100101111001111111101111011000101011110110110011111111110011111010111010111110101011111111110010111111001111010001001011001100001100111000	261
ec6dfe0b-4604-4cfd-aecf-72f129db1e02	fmr1	-	12	7.262383199847445	6.186435875233499	-2796.978995831836	60184	0	0000000110	2
1fc1a909-081b-42cb-9a77-9dc585085840	fmr1	+	23	6.155773295022796	5.824952284132973	-5212.978641335199	8674	568	00000000100000001001	3
bcc0e655-9808-4b2e-8850-0c57e3cbb63a	fmr1	-	24	6.1213767443586695	4.757207961309524	-4865.207204610417	87897	645	111011000101111000000	10
78a7c159-5b8a-48c3-90ee-9e1e5e66736b	fmr1	-	21	6.534578189080656	6.017286237315498	-3962.158684827064	60500	359	0111011111111111110	16
850199f2-c2e7-4508-971b-9ee1ed977d30	fmr1	+	20	4.12158344773104	4.520211503220791	-8478.381172167605	11680	1224	0000000001000000	1
42847810-3e9c-4930-b9cf-12d097541b3a	fmr1	-	20	3.638910779884829	4.630614873398225	-3692.826097340528	58053	0	000000001100001000	3
967baf3d-0ae1-42da-b982-3fbb256d8bc6	fmr1	-	19	6.780013720407992	5.991023563583383	-3793.951654561234	60272	302	01001001000111100	7
2a02ee91-0450-49ab-b71a-e676abfa8ee3	fmr1	+	19	5.481862804116724	5.508471585838825	-5047.754625630845	9458	410	0000000000100000000	1
2db8fb87-62d2-49ef-a4d2-640d8d3a50d5	fmr1	+	18	5.714146876880265	6.412130152925532	-6523.380837036321	8747	843	0000000010000001	2
46867bad-39c1-41a1-91ea-61986db6ce87	fmr1	-	23	6.246325496941896	5.393594452340031	-4352.145282292519	66213	376	0000000011000000001	3
f67d708f-2dc9-45a5-a582-4c0f934880e7	fmr1	+	25	5.762513457285848	4.795751417622133	-5404.728464392382	8861	186	10000000000000100000000000	2
e6cbd6ae-f18f-4a01-870a-fe12792f4fad	fmr1	-	21	6.129876422144557	7.410089391387473	-3834.6072965211374	63321	341	0010110000100010000	5
46103b05-8272-4da6-919a-3e30d426451e	fmr1	-	7	6.475489439229249	4.312850909644847	-2224.4349274026717	63301	0	101111	5
