Sample,SLITRK4/GAPDH,SLITRK2/GAPDH
ML_scClone1,0.095850748,0.003767172
ML_scClone1,0.096955293,0.003525593
ML_scClone2,0.019080644,0.001675303
ML_scClone2,0.022340601,0.002249758
ML_scClone3,0.018947571,0.001457721
ML_scClone3,0.019533036,0.0015452
ML_scClone4,0.011817979,0.00057649
ML_scClone4,0.012137024,0.000819662
ML_scClone5,0.027298372,0.000678632
ML_scClone5,0.028051851,0.001286259
ML_scClone6,0.009109298,0.000728412
ML_scClone6,0.008879756,0.000867786
ML_scClone7,0.031222154,0.002418462
ML_scClone7,0.031584646,0.002250081
