gene	cv_FXS_zscore	NPC_BREACH	Pearson_rho_wFMRP	q_value_wFMRP	q_value_wFMRP_neglog10	
A1BG	1.894463684	FALSE	0.580341393	0.040235015	1.395395828	
A2M	0.172526339	FALSE	0.479706627	0.084986596	1.070649567	
A3GALT2	0.607706882	FALSE	0.618590795	0.021564552	1.666259553	
AAAS	-0.282188206	FALSE	0.469855205	0.084986596	1.070649567	
AACS	-0.221037372	FALSE	0.466536469	0.084986596	1.070649567	
AAGAB	-0.36219617	FALSE	0.466963703	0.084986596	1.070649567	
AAK1	-1.740604399	FALSE	0.468135991	0.084986596	1.070649567	
AAMDC	-0.480837515	FALSE	0.577091123	0.042145998	1.375243654	
AAMP	-0.207591546	FALSE	0.532512454	0.074010734	1.130705287	
AAR2	-0.565512403	FALSE	0.469518654	0.084986596	1.070649567	
AARS1	-0.467746472	FALSE	0.478858451	0.084986596	1.070649567	
AARS2	1.126676968	FALSE	0.482634616	0.084986596	1.070649567	
AARSD1	-0.680934286	FALSE	0.557978092	0.055260781	1.25758298	
AASDH	-0.555806388	FALSE	0.476669704	0.084986596	1.070649567	
AASDHPPT	-0.169349233	FALSE	0.684246336	0.00501209	2.299981109	
AASS	-1.366434039	FALSE	0.52540596	0.079879333	1.097565572	
AATF	-0.002700313	FALSE	0.54007068	0.068901917	1.161768695	
AATK	1.333530348	FALSE	0.473283928	0.084986596	1.070649567	
ABAT	-0.675017667	FALSE	0.466541291	0.084986596	1.070649567	
ABCA1	0.342254521	FALSE	0.478842979	0.084986596	1.070649567	
ABCA10	-0.705672053	FALSE	0.568219511	0.048201351	1.31694079	
ABCA13	-1.497105795	FALSE	0.563353724	0.051479042	1.288369542	
ABCA2	-0.245278187	FALSE	0.467805008	0.084986596	1.070649567	
ABCA3	0.640171475	FALSE	0.556093018	0.056873803	1.245087729	
ABCA5	1.779003916	FALSE	0.549999868	0.061830451	1.208797589	
ABCA6	-0.320551911	FALSE	0.468020454	0.084986596	1.070649567	
ABCA7	-0.204664127	FALSE	0.483075877	0.084986596	1.070649567	
ABCA9	-1.279617488	FALSE	0.493444462	0.084986596	1.070649567	
ABCB1	-0.213533154	FALSE	0.502544224	0.084986596	1.070649567	
ABCB10	1.769443148	FALSE	0.633379702	0.01631159	1.787503691	
ABCB4	-1.014603426	FALSE	0.488173427	0.084986596	1.070649567	
ABCB6	-0.830258806	FALSE	0.48136461	0.084986596	1.070649567	
ABCB7	-0.709054523	FALSE	0.484284011	0.084986596	1.070649567	
ABCB8	-1.076089381	FALSE	0.53851712	0.069748045	1.156467958	
ABCB9	-1.178670452	FALSE	0.466780477	0.084986596	1.070649567	
ABCC1	-1.038061935	FALSE	0.53912785	0.069262516	1.159501739	
ABCC10	0.126017635	FALSE	0.48507796	0.084986596	1.070649567	
ABCC2	-0.870178805	FALSE	0.472844829	0.084986596	1.070649567	
ABCC3	-0.052794186	FALSE	0.470995341	0.084986596	1.070649567	
ABCC4	-0.56253293	FALSE	0.529059356	0.0765279	1.116180206	
ABCC5	0.807481748	FALSE	0.498007187	0.084986596	1.070649567	
ABCC6	-1.106036793	FALSE	0.619044224	0.02136938	1.67020807	
ABCD1	-0.428149855	FALSE	0.472148657	0.084986596	1.070649567	
ABCD2	-1.222119547	FALSE	0.468850103	0.084986596	1.070649567	
ABCD3	-1.223316642	FALSE	0.51873384	0.084986596	1.070649567	
ABCD4	-1.386241645	FALSE	0.478040302	0.084986596	1.070649567	
ABCE1	1.45586932	FALSE	0.466647865	0.084986596	1.070649567	
ABCF1	-1.34401426	FALSE	0.513089505	0.084986596	1.070649567	
ABCF2	-0.830587819	FALSE	0.577389862	0.041925508	1.377521669	
ABCF3	0.497900658	FALSE	0.473144516	0.084986596	1.070649567	
ABCG1	-0.47482299	FALSE	0.46790471	0.084986596	1.070649567	
ABCG2	-0.158150555	FALSE	0.563832491	0.051256676	1.290249558	
ABHD1	-0.246723404	FALSE	0.50562223	0.084986596	1.070649567	
ABHD10	0.800957025	FALSE	0.491758481	0.084986596	1.070649567	
ABHD11	1.085406747	FALSE	0.560758343	0.053873685	1.268623316	
ABHD12	-1.372187679	FALSE	0.489166993	0.084986596	1.070649567	
ABHD12B	-0.26238749	FALSE	0.49154539	0.084986596	1.070649567	
ABHD13	-0.313041868	FALSE	0.471170321	0.084986596	1.070649567	
ABHD14A	-0.220425584	FALSE	0.565105345	0.050394033	1.297620881	
ABHD14B	1.400519167	FALSE	0.509363939	0.084986596	1.070649567	
ABHD15	1.287594988	FALSE	0.474292962	0.084986596	1.070649567	
ABHD16A	-1.119134258	FALSE	0.473955707	0.084986596	1.070649567	
ABHD16B	0.870078436	FALSE	0.46974519	0.084986596	1.070649567	
ABHD17A	1.646432454	FALSE	0.494504999	0.084986596	1.070649567	
ABHD17B	-0.640316865	FALSE	0.483568445	0.084986596	1.070649567	
ABHD17C	-1.282380236	FALSE	0.500622993	0.084986596	1.070649567	
ABHD18	-1.122428539	FALSE	0.467136877	0.084986596	1.070649567	
ABHD2	0.102418208	FALSE	0.518394876	0.084986596	1.070649567	
ABHD3	-0.890453971	FALSE	0.568172421	0.048201351	1.31694079	
ABHD4	0.529733756	FALSE	0.471617923	0.084986596	1.070649567	
ABHD5	-0.047749556	FALSE	0.529887567	0.07599084	1.119238753	
ABHD6	0.202485893	FALSE	0.489352837	0.084986596	1.070649567	
ABHD8	-0.425268188	FALSE	0.489004112	0.084986596	1.070649567	
ABI1	0.147243306	FALSE	0.471938387	0.084986596	1.070649567	
