gene,cv_FXS_zscore,BRAIN_BREACH
ATG14,2.668617139,TRUE
PPP2R5A,2.261677251,TRUE
GALM,2.203313831,TRUE
TATDN3,2.035577817,TRUE
CHRAC1,1.755686002,TRUE
GPR161,1.720601438,TRUE
DUS4L,1.633460239,TRUE
ARID4B,1.574164736,TRUE
ANK3,1.441253981,TRUE
KATNAL1,1.438808922,TRUE
HMGB1,1.436918743,TRUE
PCCB,1.421931481,TRUE
PAPOLG,1.401961043,TRUE
PTPN4,1.354308687,TRUE
ANGEL2,1.294255906,TRUE
CREG1,1.292079492,TRUE
ACCS,1.280248292,TRUE
TIMM21,1.268086212,TRUE
BORCS5,1.256255965,TRUE
CDKN1B,1.253694748,TRUE
SETD7,1.243558822,TRUE
BCAP29,1.234734328,TRUE
CENPJ,1.199872785,TRUE
HSPH1,1.191248407,TRUE
RASAL2,1.145895259,TRUE
NDUFC1,1.144369855,TRUE
MFHAS1,1.140610632,TRUE
POU2F1,1.11453757,TRUE
CNDP2,1.109448845,TRUE
DHX57,1.077968305,TRUE
SPATA45,1.042642744,TRUE
ALOX5AP,1.036658017,TRUE
TOMM20,1.023009985,TRUE
MPC2,1.019322691,TRUE
CLEC20A,0.998378543,TRUE
CYB5A,0.99749839,TRUE
TTC17,0.994278624,TRUE
SEC16B,0.980986307,TRUE
EXT2,0.979732462,TRUE
TBCE,0.965816378,TRUE
PNPLA8,0.957595103,TRUE
GIPC2,0.954962437,TRUE
MSL2,0.946369502,TRUE
MTMR6,0.927551259,TRUE
N4BP2L2,0.92440387,TRUE
DICER1,0.899047147,TRUE
HNRNPLL,0.89053241,TRUE
SANBR,0.872316765,TRUE
MGST2,0.869135653,TRUE
POLR1D,0.854980824,TRUE
XPO1,0.852111285,TRUE
SERP2,0.847071413,TRUE
TSC22D1,0.845945785,TRUE
NOCT,0.845150823,TRUE
UBE2L5,0.840914265,TRUE
USPL1,0.833488645,TRUE
NAA15,0.826037904,TRUE
ETV6,0.823947601,TRUE
AK5,0.809416569,TRUE
FRY,0.771123708,TRUE
PDS5B,0.76763208,TRUE
ALX4,0.74660801,TRUE
MED6,0.725718076,TRUE
DDX47,0.704899817,TRUE
AGO2,0.697812582,TRUE
ZZZ3,0.680871487,TRUE
PPP4R4,0.673913013,TRUE
LRP6,0.651190357,TRUE
MAML3,0.649660942,TRUE
RBM34,0.646967564,TRUE
CBLL1,0.643935244,TRUE
RPL21,0.629702837,TRUE
FBXO34,0.620365516,TRUE
LNX2,0.607738451,TRUE
NUP58,0.603366529,TRUE
ZCCHC9,0.596895979,TRUE
CCT4,0.596497336,TRUE
PANK3,0.588334478,TRUE
MGARP,0.586258288,TRUE
KTN1,0.579401494,TRUE
B3GALNT2,0.576103972,TRUE
ANKRD33B,0.558038294,TRUE
SSBP2,0.55653417,TRUE
LAMB1,0.544176475,TRUE
PPP2R3A,0.540040836,TRUE
APOLD1,0.515978925,TRUE
GPR20,0.479011311,TRUE
GPR137B,0.469086517,TRUE
BRCA2,0.46035751,TRUE
SOS1,0.459088373,TRUE
TNKS,0.454235064,TRUE
NCK1,0.43956956,TRUE
WWC1,0.42849631,TRUE
RXFP2,0.422457972,TRUE
DLD,0.414872581,TRUE
DUSP16,0.41481133,TRUE
SRSF7,0.410061944,TRUE
TBPL2,0.406798547,TRUE
ERO1B,0.40583583,TRUE
AMER2,0.394509678,TRUE
ARHGEF33,0.38549921,TRUE
BATF3,0.383242354,TRUE
NENF,0.378097541,TRUE
COMMD1,0.377340488,TRUE
TSHZ1,0.3728748,TRUE
GPR19,0.366882168,TRUE
DLGAP5,0.358778536,TRUE
SFT2D2,0.353112095,TRUE
USP34,0.3520493,TRUE
GGPS1,0.350791378,TRUE
REL,0.344489934,TRUE
ELF2,0.337565249,TRUE
