gene,Pearson_rho_Gene
A1BG,0.450481298
A2M,-0.239876928
A3GALT2,-0.415392269
AAAS,0.104488795
AACS,0.047831804
AAGAB,-0.118218358
AAK1,-0.200543338
AAMDC,0.518357335
AAMP,0.179994045
AAR2,-0.034010593
AARS1,-0.046094479
AARS2,-0.170402762
AARSD1,0.447776337
AASDH,-0.192352398
AASDHPPT,-0.598053312
AASS,0.087106107
AATF,0.429380572
AATK,0.209106873
ABAT,-0.092133496
ABCA1,-0.105662732
ABCA10,-0.341710274
ABCA13,-0.441901635
ABCA2,-0.069597647
ABCA3,0.184159545
ABCA5,-0.412270006
ABCA6,0.050407334
ABCA7,0.26465757
ABCA9,-0.289377254
ABCB1,0.064684445
ABCB10,-0.622906622
ABCB4,-0.14331165
ABCB6,-0.029922438
ABCB7,-0.216382298
ABCB8,-0.285083532
ABCB9,-0.02951554
ABCC1,-0.377573037
ABCC10,0.149448837
ABCC2,-0.191017722
ABCC3,-0.037062408
ABCC4,-0.300832811
ABCC5,-0.08911667
ABCC6,-0.450547813
ABCD1,0.149435624
ABCD2,-0.130158766
ABCD3,-0.443243728
ABCD4,0.054397568
ABCE1,-0.131908285
ABCF1,-0.077852117
ABCF2,-0.270523269
ABCF3,0.054432593
ABCG1,-0.015215092
ABCG2,-0.324839439
ABHD1,0.098381359
ABHD10,-0.22599784
ABHD11,0.328912539
ABHD12,0.207031836
ABHD12B,-0.201522198
ABHD13,-0.149081223
ABHD14A,0.454435168
ABHD14B,0.426230101
ABHD15,0.110161814
ABHD16A,0.221791922
ABHD16B,-0.013583058
ABHD17A,0.193239468
ABHD17B,-0.320854386
ABHD17C,0.108495501
ABHD18,-0.147217727
ABHD2,0.210620817
ABHD3,-0.223536307
ABHD4,0.095271669
ABHD5,0.377467328
ABHD6,-0.331843772
ABHD8,0.179693891
ABI1,-0.058065981
ABI2,-0.183909158
ABI3,-0.031360433
ABITRAM,0.203278919
ABL1,-0.039426313
ABL2,-0.374679702
ABLIM1,-0.003951671
ABLIM2,-0.116201869
ABLIM3,0.210874038
ABO,0.268445984
ABR,0.086814682
ABRACL,0.075228719
ABRAXAS1,-0.023195223
ABRAXAS2,-0.256308617
ABT1,0.082202101
ABTB1,0.374406904
ABTB2,-0.060466939
ACAA1,0.271980943
ACAA2,-0.004663483
ACACA,-0.162357166
ACACB,0.26839565
ACAD10,-0.218376118
ACAD11,-0.086904756
ACAD8,-0.460758023
ACAD9,-0.311700007
ACADM,-0.070041178
ACADS,0.108124377
ACADSB,-0.278846932
ACADVL,-0.117628199
ACAP1,0.260458696
ACAP2,-0.087082882
ACAP3,-0.312986827
ACAT1,0.389210674
ACAT2,0.372978137
ACBD3,-0.333459122
ACBD4,0.172058387
ACBD5,-0.446338724
ACBD6,0.43281646
ACBD7,-0.137904188
ACCS,0.022281775
ACCSL,-0.062106573
ACD,0.362916084
ACE,0.043986112
ACER1,0.286159216
ACER2,-0.175697117
ACER3,-0.30536
ACIN1,0.041968326
ACKR1,0.103244703
ACKR2,-0.069357418
ACKR3,-0.169880078
ACKR4,-0.261354625
ACLY,-0.522850733
ACO1,-0.527722043
ACO2,-0.032141253
ACOT1,0.135450804
ACOT11,-0.360469765
ACOT12,-0.3936797
ACOT13,0.073263203
ACOT2,-0.094473497
ACOT4,-0.265223244
ACOT7,0.369653137
ACOT8,0.478455264
ACOT9,-0.1870278
ACOX1,0.289841373
ACOX2,0.344463984
ACOX3,-0.075404542
ACOXL,-0.118252889
ACP1,0.095443519
ACP2,-0.038897403
ACP3,-0.082451127
ACP5,0.234253359
ACP6,-0.051619747
ACRBP,0.307519696
ACSBG1,0.02599276
ACSBG2,-0.202259399
ACSF2,0.125187101
ACSF3,0.254638895
ACSL1,-0.104099621
ACSL3,0.112693441
ACSL4,-0.299966285
ACSL5,-0.343127573
ACSL6,-0.429353636
ACSM1,-0.03651425
ACSM3,-0.188807647
ACSM5,-0.051752065
ACSS1,-0.045219824
ACSS2,0.116640029
ACSS3,-0.141772187
ACTA1,-0.250647361
ACTA2,0.060822183
ACTB,0.500082455
ACTG1,-0.012421437
ACTL10,0.135105927
ACTL6A,-0.385987448
ACTN1,0.270662818
ACTN3,-0.360545511
ACTN4,0.222913808
ACTR10,0.224954369
ACTR1A,0.169756687
ACTR1B,0.030069115
ACTR2,-0.108628297
ACTR3,-0.159284823
ACTR3B,0.095384668
ACTR3C,-0.51339303
ACTR5,0.101212948
ACTR6,0.188756069
ACTR8,-0.208052552
ACTRT3,-0.153187785
ACVR1,-0.300791795
ACVR1B,-0.54139911
ACVR1C,0.008342616
ACVR2A,-0.209197477
ACVR2B,-0.302051703
