	gene	mean_diff	cv_FXS_zscore	cv_NL_zscore	NPC_BREACH
0	A1BG	-10.89106667	1.894463684	0.246301966	FALSE
1	A1CF	2.959858333	-0.151925361	0.145304043	FALSE
2	A2M	4.546108333	0.172526339	1.20171911	FALSE
3	A2ML1	-8.020983333	-0.473054316	-0.765680627	FALSE
4	A3GALT2	-4.515308333	0.607706882	0.098771272	FALSE
5	A4GALT	-4.6258325	0.584753428	-0.799153636	FALSE
6	A4GNT	8.275716667	-0.67384018	0.106835609	FALSE
7	AAAS	-0.0087525	-0.282188206	-0.230435949	FALSE
8	AACS	-2.19555	-0.221037372	-0.741608335	FALSE
9	AADAC	-3.709141667	-1.176547613	-0.9266855	FALSE
10	AADACL2	2.18335	-0.758322822	-1.131896437	FALSE
11	AADACL3	-3.364420833	0.988800047	-0.64429873	FALSE
12	AADACL4	-10.44340833	-1.745209363	-0.876985039	FALSE
13	AADAT	0.440189167	0.905931685	-0.100629128	FALSE
14	AAGAB	1.2071	-0.36219617	-0.882999268	FALSE
15	AAK1	-3.225941667	-1.740604399	-0.620262282	FALSE
16	AAMDC	-2.282166667	-0.480837515	-0.007391486	FALSE
17	AAMP	-0.882881667	-0.207591546	-0.196656415	FALSE
18	AANAT	-3.299468333	0.804147976	-0.495645345	FALSE
19	AAR2	0.483950833	-0.565512403	0.28947557	FALSE
20	AARD	-6.047183333	-0.671638292	0.309845777	FALSE
21	AARS1	0.655821667	-0.467746472	0.812872395	FALSE
22	AARS2	-4.627390833	1.126676968	0.149122432	FALSE
23	AARSD1	0.824841667	-0.680934286	-1.214309473	FALSE
24	AASDH	-16.92021667	-0.555806388	-0.653117856	FALSE
25	AASDHPPT	9.729375	-0.169349233	0.653292826	FALSE
26	AASS	7.626083333	-1.366434039	0.347319835	FALSE
27	AATF	-8.673841667	-0.002700313	-0.665278652	FALSE
28	AATK	-6.201576667	1.333530348	0.132868983	FALSE
29	ABAT	-3.343158333	-0.675017667	-0.275732658	FALSE
30	ABCA1	5.243991667	0.342254521	-0.679924529	FALSE
31	ABCA10	10.37845833	-0.705672053	-0.000786926	FALSE
32	ABCA12	-2.316166667	-0.027276828	0.187115639	FALSE
33	ABCA13	2.512566667	-1.497105795	-0.96912368	FALSE
34	ABCA2	-27.451925	-0.245278187	0.659149937	FALSE
35	ABCA3	-1.1026	0.640171475	0.27399504	FALSE
36	ABCA4	3.319725	0.222683586	-0.480789581	FALSE
37	ABCA5	2.613146667	1.779003916	-0.525637347	FALSE
38	ABCA6	14.188225	-0.320551911	-0.216606317	FALSE
39	ABCA7	-11.022025	-0.204664127	0.265794929	FALSE
40	ABCA8	3.357133333	-0.720878403	-1.138036278	FALSE
41	ABCA9	1.277516667	-1.279617488	0.740136368	FALSE
42	ABCB1	9.036208333	-0.213533154	-0.943685314	FALSE
43	ABCB10	0.141259167	1.769443148	-0.035082205	FALSE
44	ABCB11	5.861175	-1.196814404	-1.120679496	FALSE
45	ABCB4	-12.72033333	-1.014603426	0.030093903	FALSE
46	ABCB5	8.898916667	-0.599879531	-0.907819573	FALSE
47	ABCB6	-6.673525	-0.830258806	0.130181237	FALSE
48	ABCB7	1.775166667	-0.709054523	0.482294777	FALSE
49	ABCB8	-0.697891667	-1.076089381	-0.024510218	FALSE
50	ABCB9	0.157091667	-1.178670452	0.535092707	FALSE
51	ABCC1	-1.480808333	-1.038061935	-0.476250543	FALSE
52	ABCC10	-5.2822	0.126017635	-0.460786793	FALSE
53	ABCC11	-0.921966667	-0.502167068	-0.344353158	FALSE
54	ABCC12	0.604616667	-1.072806817	0.246707305	FALSE
55	ABCC2	-0.181091667	-0.870178805	-1.249920925	FALSE
56	ABCC3	0.356925	-0.052794186	0.656698577	FALSE
57	ABCC4	-6.80595	-0.56253293	-1.245039389	FALSE
58	ABCC5	4.923618333	0.807481748	-0.98537236	FALSE
59	ABCC6	-18.74415833	-1.106036793	-0.451660916	FALSE
60	ABCC8	0.609216667	0.026134852	-0.250168174	FALSE
61	ABCC9	4.005391667	-1.105724289	-0.256620052	FALSE
62	ABCD1	-4.949066667	-0.428149855	0.953617452	FALSE
63	ABCD2	-17.12654167	-1.222119547	-0.638730702	FALSE
64	ABCD3	2.140591667	-1.223316642	0.314141144	FALSE
65	ABCD4	1.052275	-1.386241645	-0.214298191	FALSE
66	ABCE1	0.031615833	1.45586932	0.405506907	FALSE
67	ABCF1	-3.3517375	-1.34401426	-0.330277391	FALSE
68	ABCF2	-0.03989	-0.830587819	0.342326988	FALSE
69	ABCF3	5.592441667	0.497900658	-0.306709162	FALSE
70	ABCG1	-7.783675	-0.47482299	0.148519956	FALSE
71	ABCG2	2.460808333	-0.158150555	-1.433835576	FALSE
72	ABCG4	-5.446176667	0.252395959	0.510187862	FALSE
73	ABCG5	-3.545525	-1.189733493	-0.862063393	FALSE
74	ABCG8	-5.352683333	0.419173619	0.308459362	FALSE
75	ABHD1	-9.427683333	-0.246723404	-0.978898414	FALSE
76	ABHD10	-0.6036175	0.800957025	-0.519246598	FALSE
77	ABHD11	-4.355193333	1.085406747	0.672116908	FALSE
78	ABHD12	-0.960853333	-1.372187679	1.933694437	FALSE
79	ABHD12B	0.353175	-0.26238749	-0.233789162	FALSE
80	ABHD13	5.81965	-0.313041868	-0.968514608	FALSE
81	ABHD14A	-1.926325	-0.220425584	0.416522845	FALSE
82	ABHD14B	-0.160605833	1.400519167	0.355486833	FALSE
83	ABHD15	-3.3770375	1.287594988	-0.833461124	FALSE
84	ABHD16A	-1.947341667	-1.119134258	-0.500169905	FALSE
85	ABHD16B	-5.516285833	0.870078436	1.618494643	FALSE
86	ABHD17A	0.654120833	1.646432454	0.088330117	FALSE
87	ABHD17B	2.209441667	-0.640316865	0.025607607	FALSE
88	ABHD17C	-1.013983333	-1.282380236	0.929505003	FALSE
89	ABHD18	2.043758333	-1.122428539	0.072668588	FALSE
90	ABHD2	-1.605183333	0.102418208	0.376492206	FALSE
91	ABHD3	-5.390866667	-0.890453971	-0.081127951	FALSE
92	ABHD4	-0.091094167	0.529733756	-0.006658879	FALSE
93	ABHD5	7.815563333	-0.047749556	-0.11166981	FALSE
94	ABHD6	-4.412308333	0.202485893	-0.021603257	FALSE
95	ABHD8	-9.058533333	-0.425268188	-0.169469078	FALSE
96	ABI1	0.685579167	0.147243306	-0.667634558	FALSE
97	ABI2	11.10389167	-0.493509361	0.627942866	FALSE
98	ABI3	-8.401939167	0.564362209	-1.150615428	FALSE
99	ABI3BP	6.002433333	0.458866815	1.495873678	FALSE
100	ABITRAM	0.454781667	1.69492532	-0.142455234	FALSE
101	ABL1	-0.386135	-0.185590444	-1.317029871	FALSE
102	ABL2	-0.251783333	0.224332016	-0.777266621	FALSE
103	ABLIM1	0.442974167	-0.149612346	-1.258223381	FALSE
104	ABLIM2	-7.333683333	-0.264025189	-0.777002154	FALSE
105	ABLIM3	9.219225	-0.367648678	-1.067694183	FALSE
106	ABR	-2.638198333	0.078651685	-0.082140407	FALSE
107	ABRA	0.9317	0.145491456	0.293001751	FALSE
108	ABRACL	-10.18659167	-0.980724677	-0.282610462	FALSE
109	ABRAXAS1	4.85426	-0.358169902	0.943837291	FALSE
110	ABRAXAS2	-2.912325	-0.461217077	-1.135615965	FALSE
111	ABT1	3.615824167	0.671552677	0.293205965	FALSE
112	ABTB1	3.5538175	1.052947021	0.266330694	FALSE
113	ABTB2	-4.594888333	-0.224584118	0.738574134	FALSE
114	ABTB3	-6.333335	1.169665602	-1.253979093	FALSE
115	ACAA1	3.138041667	-0.591457876	-1.036513701	FALSE
116	ACAA2	-0.524241667	-0.30270108	-0.250101219	FALSE
117	ACACA	-2.9191825	0.423388569	0.891411495	FALSE
118	ACACB	3.408116667	-1.476876693	-0.916179973	FALSE
119	ACAD10	-5.9090725	0.2281006	0.657864683	FALSE
120	ACAD11	5.075758333	-1.234759019	-0.779345311	FALSE
121	ACAD8	0.511410833	1.775177368	0.760858534	FALSE
122	ACAD9	-1.047065833	0.29494359	-0.093982361	FALSE
123	ACADL	-4.954908333	-0.557711013	-1.060190519	FALSE
124	ACADM	13.73436667	-0.455981564	-0.663777283	FALSE
125	ACADS	-1.825316667	-0.63598288	-0.576472728	FALSE
126	ACADSB	2.780775	-0.264934283	-0.77056478	FALSE
127	ACADVL	2.37003	0.810455763	1.531181248	FALSE
128	ACAN	-4.112326667	0.752624721	-0.391641316	FALSE
129	ACAP1	3.573883333	-0.095836511	-0.643408651	FALSE
130	ACAP2	2.597816667	0.303951307	0.259849429	FALSE
131	ACAP3	-3.336235	2.830217875	0.372196431	FALSE
132	ACAT1	-2.512091667	-0.761956862	-0.728921097	FALSE
133	ACAT2	-2.769091667	0.125652353	-0.931552935	FALSE
134	ACBD3	1.4042	-1.165985452	-0.099392516	FALSE
135	ACBD4	-14.11733333	-0.590854688	-1.35946046	FALSE
136	ACBD5	4.212275	-0.298241473	-0.68170412	FALSE
137	ACBD6	10.382525	-0.060210245	-0.198396349	FALSE
138	ACBD7	-3.22635	-1.213919147	-1.140949504	FALSE
139	ACCS	-6.565525	-1.223041964	-0.17423541	FALSE
140	ACCSL	-2.336783333	-0.04838476	-0.992530858	FALSE
141	ACD	-1.7645425	0.179084515	-0.24184846	FALSE
142	ACE	2.326128333	0.770391814	-1.176989408	FALSE
143	ACE2	2.716690833	0.424365752	0.460452709	FALSE
144	ACER1	-124.4691667	0.242217339	0.558617716	FALSE
145	ACER2	-10.20565	-1.34740732	0.134819655	FALSE
146	ACER3	-3.054805833	0.271450325	-0.683908999	FALSE
147	ACHE	-6.378291667	0.865668899	0.676400388	FALSE
148	ACIN1	-4.023516667	0.815648723	0.954742317	FALSE
149	ACKR1	-2.379916667	-0.655339201	0.965935	FALSE
150	ACKR2	-0.266785833	0.560805848	-0.794308489	FALSE
151	ACKR3	-9.434675	-0.188563942	-0.509697322	FALSE
152	ACKR4	-5.621758333	-0.737050365	0.299422581	FALSE
153	ACLY	-22.17765	-0.135799132	-0.88460756	FALSE
154	ACMSD	-7.065316667	-1.148094956	-0.103297912	FALSE
155	ACO1	3.95385	-1.223635501	0.715244118	FALSE
156	ACO2	2.415006667	-0.403694334	-0.108461452	FALSE
157	ACOD1	-2.272808333	-0.364368691	-0.925315273	FALSE
158	ACOT1	9.441758333	-1.451319837	1.392490495	FALSE
159	ACOT11	-9.971125	-1.090585624	-0.697622984	FALSE
160	ACOT12	2.701066667	-1.192704249	-0.091451379	FALSE
161	ACOT13	-27.3555	-0.668348416	-1.265333483	FALSE
162	ACOT2	-4.569691667	-1.225882308	-1.135702242	FALSE
163	ACOT4	5.863291667	0.761576415	-0.372788337	FALSE
164	ACOT6	-3.776466667	-0.291156559	-0.403051207	FALSE
165	ACOT7	-1.96521	0.734335865	0.083782183	FALSE
166	ACOT8	-9.5011225	0.019232683	-0.084886812	FALSE
167	ACOT9	5.0803	-0.724487717	-0.871287642	FALSE
168	ACOX1	-0.958683333	0.081344658	-0.542296626	FALSE
169	ACOX2	6.201991667	-0.326829288	-0.708154679	FALSE
170	ACOX3	3.860631667	-0.534945941	0.554166584	FALSE
171	ACOXL	-27.01225833	-1.22162361	0.158068904	FALSE
172	ACP1	-6.149658333	-0.352180349	-0.048903988	FALSE
173	ACP2	-5.992310833	0.248538706	0.340047339	FALSE
174	ACP3	-3.786930833	0.861560517	-1.000950366	FALSE
175	ACP4	-30.76262333	0.780503036	3.704222822	FALSE
176	ACP5	-3.751366667	-0.685042009	0.077789024	FALSE
177	ACP6	-7.212513333	0.590454324	-0.836262013	FALSE
178	ACP7	-6.019641667	-0.504001481	-0.337631105	FALSE
179	ACR	-8.655116667	-0.75581507	0.825993398	FALSE
180	ACRBP	-0.798225	0.027170325	0.804809611	FALSE
181	ACRV1	3.163685	-0.725796096	1.092898094	FALSE
182	ACSBG1	-0.626175	-0.038885064	-0.602345766	FALSE
183	ACSBG2	-94.51658333	-0.455482553	0.037467949	FALSE
184	ACSF2	0.997003333	0.304145632	0.523402926	FALSE
185	ACSF3	-2.745225	-0.501133753	0.5159411	FALSE
186	ACSL1	-0.56495	0.180451079	-0.855068403	FALSE
187	ACSL3	-5.357191667	-0.241209435	-0.804933929	FALSE
