	gene	mean_diff	cv_FXS_zscore	cv_NL_zscore	BRAIN_BREACH
0	A1BG	14.310773	0.066619639	1.166388808	FALSE
1	A1CF	90.97629	-0.104048961	-1.126389051	FALSE
2	A2M	26.64359	-0.682040253	-0.53358466	FALSE
3	A2ML1	54.79964	-1.4475529	-1.143425901	FALSE
4	A3GALT2	0.9150095	-0.158505026	-0.018067603	FALSE
5	A4GALT	2.3962825	0.534478481	-1.185668857	FALSE
6	A4GNT	33.035745	-0.852539717	-0.934460441	FALSE
7	AAAS	4.199231	0.098341923	0.924639472	FALSE
8	AACS	16.3875727	0.447266076	2.974346907	FALSE
9	AADAC	75.295835	-0.762704248	-1.152658346	FALSE
10	AADACL2	17.0645	-2.04361316	-1.311745098	FALSE
11	AADACL3	14.923075	-1.344906457	-0.387221388	FALSE
12	AADACL4	-9.026595	-1.836127912	-0.882225407	FALSE
13	AADAT	75.977402	0.763287299	0.522212552	FALSE
14	AAGAB	31.4678104	-0.120507594	0.75340983	FALSE
15	AAK1	29.64643	-0.5381462	-1.100468602	FALSE
16	AAMDC	7.90158	-1.109212059	-0.633917014	FALSE
17	AAMP	5.7316436	-0.052896412	0.526397117	FALSE
18	AANAT	-3.851654	2.487804526	0.908546095	FALSE
19	AAR2	13.45995329	0.98445117	0.577617595	FALSE
20	AARD	49.5935	-0.143934718	-1.278269671	FALSE
21	AARS1	12.953294	0.684490353	0.169878488	FALSE
22	AARS2	6.7726945	0.555339289	0.300186026	FALSE
23	AARSD1	4.3380235	-0.679922941	-0.504088743	FALSE
24	AASDH	21.61036	-1.306867649	-0.438528496	FALSE
25	AASDHPPT	39.902215	0.251754019	-0.176394816	FALSE
26	AASS	52.76885	-0.33264324	-0.846701333	FALSE
27	AATF	10.008362	0.524978126	0.505248678	FALSE
28	AATK	2.5414752	1.176835575	2.952368479	FALSE
29	ABAT	-5.617845	-0.97705176	-0.70705235	FALSE
30	ABCA1	47.7208775	1.144763552	0.416341829	FALSE
31	ABCA10	42.639178	0.376274373	0.453541151	FALSE
32	ABCA12	43.4101	-1.054978691	-1.031956474	FALSE
33	ABCA13	66.26469	-0.549606741	-0.989347263	FALSE
34	ABCA2	-4.09232175	1.662044458	-0.208246899	FALSE
35	ABCA3	-1.28948215	0.77566969	2.566683892	FALSE
36	ABCA4	42.296545	-0.468415636	-1.203331395	FALSE
37	ABCA5	23.9560975	0.837960638	1.130572811	FALSE
38	ABCA6	36.685745	-0.705228461	-0.146970627	FALSE
39	ABCA7	-5.1360375	1.100760251	-0.911441618	FALSE
40	ABCA8	-19.43195	-1.520973557	-0.644412136	FALSE
41	ABCA9	20.3256	-1.635140915	-1.323420632	FALSE
42	ABCB1	88.286705	0.265048268	-0.725415178	FALSE
43	ABCB10	19.0504358	0.864401922	1.611153721	FALSE
44	ABCB11	50.68994	-0.853408017	-0.910142919	FALSE
45	ABCB4	71.943185	-0.088621984	-0.426092345	FALSE
46	ABCB5	32.647	-0.823917732	-1.006172007	FALSE
47	ABCB6	7.2285615	0.753668018	-0.338601268	FALSE
48	ABCB7	58.79539	0.630019491	-0.231677976	FALSE
49	ABCB8	12.8302952	1.672901331	1.927445251	FALSE
50	ABCB9	13.8989728	-0.042826155	0.967775773	FALSE
51	ABCC1	-7.98798	-0.206395293	0.054789692	FALSE
52	ABCC10	4.10015	0.303966434	-0.667443588	FALSE
53	ABCC11	41.473215	-0.384406076	-0.445898583	FALSE
54	ABCC12	36.87041	-1.138779446	-0.782773646	FALSE
55	ABCC2	46.50971	-1.023838049	-0.667177742	FALSE
56	ABCC3	-1.5806535	1.812669862	0.094869278	FALSE
57	ABCC4	54.60419	-0.262782127	-1.398044183	FALSE
58	ABCC5	27.7821742	0.105386401	0.260263292	FALSE
59	ABCC6	-7.293685	-1.416826038	-0.818733227	FALSE
60	ABCC8	16.096105	-1.132480414	-0.592425316	FALSE
61	ABCC9	48.2973	-0.868618772	-0.896764284	FALSE
62	ABCD1	-17.849275	-1.431160789	-0.72364248	FALSE
63	ABCD2	67.5542	-1.751570141	-1.256901307	FALSE
64	ABCD3	52.352241	0.46460141	1.837170085	FALSE
65	ABCD4	11.6746388	0.538027293	0.175125249	FALSE
66	ABCE1	52.924122	0.721241111	-0.20671808	FALSE
67	ABCF1	0.5508115	2.097425604	-0.385044311	FALSE
68	ABCF2	20.666472	-0.006271025	0.562810984	FALSE
69	ABCF3	8.139557	0.646248059	0.388403042	FALSE
70	ABCG1	1.334403	1.039649791	1.755109739	FALSE
71	ABCG2	65.45919	-1.087158629	-0.295040515	FALSE
72	ABCG4	7.132662	-0.282648593	0.843892776	FALSE
73	ABCG5	55.138475	-1.009534255	-0.165009399	FALSE
74	ABCG8	42.600535	-0.364645971	-0.108909095	FALSE
75	ABHD1	6.863097	3.414229184	-0.539690681	FALSE
76	ABHD10	44.7485295	0.549540352	1.883199106	FALSE
77	ABHD11	0.6243485	0.873561123	0.947564486	FALSE
78	ABHD12	14.7946565	0.561650504	-0.008934522	FALSE
79	ABHD12B	46.939187	-0.258825394	0.525016565	FALSE
80	ABHD13	38.202276	1.214997503	0.64327168	FALSE
81	ABHD14A	0.5133875	-0.620193327	1.975057836	FALSE
82	ABHD14B	2.19284675	1.064919449	2.071783501	FALSE
83	ABHD15	1.811097	-1.583979165	1.699751175	FALSE
84	ABHD16A	2.909902	2.450032981	0.238673931	FALSE
